Date,Currency Code,Rate
2017-06-14,EUR,1.487200
2017-06-14,HKD,0.169382
2017-06-14,INR,0.020560
2017-06-14,IDR,0.000099
2017-06-14,JPY,0.012080
2017-06-14,MYR,0.310200
2017-06-14,MXN,0.073580
2017-06-14,NZD,0.963000
2017-06-14,NOK,0.157600
2017-06-14,PEN,0.403800
2017-06-14,RUB,0.023120
2017-06-14,SAR,0.352200
2017-06-14,SGD,0.961600
2017-06-14,ZAR,0.104610
2017-06-14,KRW,0.001181
2017-06-14,SEK,0.152600
2017-06-14,CHF,1.365000
2017-06-14,TWD,0.043870
2017-06-14,THB,0.039010
2017-06-14,TRY,0.378600
2017-06-14,GBP,1.688300
2017-06-14,USD,1.320900
2017-06-14,VND,0.000058
2017-06-15,AUD,1.006700
2017-06-15,BRL,0.405700
2017-06-15,CNY,0.195100
2017-06-15,EUR,1.481000
2017-06-15,HKD,0.170258
2017-06-15,INR,0.020570
2017-06-15,IDR,0.000100
2017-06-15,JPY,0.012000
2017-06-15,MYR,0.311300
2017-06-15,MXN,0.073440
2017-06-15,NZD,0.956600
2017-06-15,NOK,0.156200
2017-06-15,PEN,0.405500
2017-06-15,RUB,0.022990
2017-06-15,SAR,0.354200
2017-06-15,SGD,0.960200
2017-06-15,ZAR,0.103140
2017-06-15,KRW,0.001174
2017-06-15,SEK,0.151800
2017-06-15,CHF,1.362100
2017-06-15,TWD,0.043740
2017-06-15,THB,0.039100
2017-06-15,TRY,0.377700
2017-06-15,GBP,1.694200
2017-06-15,USD,1.328300
2017-06-15,VND,0.000059
2017-06-16,AUD,1.008500
2017-06-16,BRL,0.402400
2017-06-16,CNY,0.194300
2017-06-16,EUR,1.480400
2017-06-16,HKD,0.169628
2017-06-16,INR,0.020520
2017-06-16,IDR,0.000100
2017-06-16,JPY,0.011930
2017-06-16,MYR,0.309400
2017-06-16,MXN,0.073750
2017-06-16,NZD,0.959400
2017-06-16,NOK,0.156500
2017-06-16,PEN,0.404000
2017-06-16,RUB,0.022930
2017-06-16,SAR,0.352800
2017-06-16,SGD,0.956700
2017-06-16,ZAR,0.103090
2017-06-16,KRW,0.001167
2017-06-16,SEK,0.152000
